,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
219285,-0.2871187410242761,0.056064947667403914,-5.121180933362514,3.0362813954759166e-07,1.9680786869916615e-06,4,4,1.0,True
284266,0.1678006765839133,0.032770619942665696,5.12046085418864,3.047898835517001e-07,1.974776426298942e-06,4,4,1.0,True
10402,-0.21193810866647791,0.041392389577298204,-5.120219219784211,3.051806867397343e-07,1.9756433931045954e-06,4,4,1.0,True
4799,-0.10418281735315983,0.020347093947693278,-5.120279958454258,3.050824066122012e-07,1.9756433931045954e-06,4,4,1.0,True
79630,0.20066595136601192,0.03919175299631395,5.120106553664106,3.0536307067161893e-07,1.9759920924142007e-06,4,3,0.75,True
4485,0.2864054798378643,0.055950896906737754,5.118872005130888,3.073684653899552e-07,1.988132164648953e-06,3,2,0.6666666666666666,True
11260,-0.1715522221837919,0.033532414222578744,-5.116011660987976,3.1206377606452516e-07,2.0176537245551196e-06,4,4,1.0,True
3953,-0.2822115870901166,0.055168377058614396,-5.115459292744411,3.1297844275156063e-07,2.022716921944197e-06,3,2,0.6666666666666666,True
114795,0.3135167205464144,0.06132613266943689,5.112285854324901,3.182837043635089e-07,2.056139476718046e-06,3,3,1.0,True
4793,-0.1471559032448526,0.028796178934095237,-5.1102579818538745,3.2171919723207194e-07,2.077460166922766e-06,4,3,0.75,True
109,0.1420093955528004,0.027791598503653602,5.109795880727452,3.2250705341559846e-07,2.08167336115232e-06,4,4,1.0,True
873,-0.21986859944059112,0.04303033238898351,-5.109618895179187,3.2280929677655806e-07,2.082749869047243e-06,4,4,1.0,True
55177,-0.1301055978753461,0.02547281866849376,-5.107624702572399,3.262337926893471e-07,2.1039616453853655e-06,4,4,1.0,True
79663,-0.15474154530010373,0.030300535759216846,-5.106891393926403,3.275018534688474e-07,2.1112540868274755e-06,4,4,1.0,True
25836,-0.1091057101566767,0.021366518654147047,-5.106386862676867,3.283770667945305e-07,2.1160089698096843e-06,4,3,0.75,True
283208,0.1352788458136324,0.02651312492614247,5.102335020503175,3.354881719492206e-07,2.1609261180223155e-06,4,4,1.0,True
10267,0.21831227171357118,0.04279716163846321,5.101092300414773,3.3769881241255115e-07,2.174254288460207e-06,4,4,1.0,True
5069,0.10362395397510295,0.020323605538593355,5.098699331588927,3.419952718071462e-07,2.2009951042423075e-06,4,4,1.0,True
91039,-0.12634992495104763,0.02478132660800142,-5.098594072451781,3.4218546595920804e-07,2.201297715114152e-06,4,3,0.75,True
54058,0.15195916423148415,0.029809301902455832,5.097709591748776,3.4378768470681977e-07,2.2106799047960494e-06,4,4,1.0,True
116985,-0.15362959917580024,0.03013893348456689,-5.097380079970934,3.4438643805427324e-07,2.2126792666462395e-06,4,3,0.75,True
84752,0.18390386044740362,0.03607760113493487,5.097452565085454,3.4425463960555806e-07,2.2126792666462395e-06,3,3,1.0,True
