drug,reversal_score,best_adj_pvalue,l2s2_rank
i,47.35656481347458,0.03698469242176069,301
brd-k56593336,46.87966951508411,0.07672387622751156,302
mebendazole,46.84104487285048,0.042059203876661094,303
brd-k97764662,46.7695510690796,0.038991328143082433,304
brd-k01877528,46.47252202400156,0.021039157230916747,305
gsk1059615,46.079175277560225,0.0002235762327683558,306
ciglitazone,46.06451014067542,0.09400705644983451,307
brd-k95547711,46.06451014067542,0.13882182447463295,308
brd-k91517665,46.06451014067542,0.13882182447463295,309
droperidol,46.06451014067542,0.09400705644983451,310
ischemin,46.06451014067542,0.09400705644983451,311
letrozole,46.06451014067542,0.13882182447463295,312
azd4547,45.955597912943496,0.02013136784541094,313
calpeptin,45.79335372147387,0.19563852420321398,314
brd-k28800414,45.36630030344951,0.20892867534839032,315
brd-k69231968,45.36630030344951,0.20892867534839032,316
brd-k79131428,45.36630030344951,0.2663229197877617,317
norgestimate,45.36630030344951,0.2663229197877617,318
brd-k86492010,44.89462755954714,0.05481528083758986,319
ve821,44.53639062732877,0.010101900669843863,320
