probe,log2FoldChange,pvalue,padj
200062_s_at,-0.4243100883840558,4.9024481451704286e-05,0.004450789242958487
200063_s_at,-0.4997183166376846,0.00029002144304176344,0.010610378955364293
200064_at,-0.24418630661492458,0.0755622605253358,0.25476681060463874
200065_s_at,-0.013831063391320342,0.7954889634469893,0.9021950980262479
200066_at,0.0988917197510677,0.34458945099682414,0.5928526737427772
200067_x_at,0.27317650976711505,0.013668465268422627,0.09311354679800103
200068_s_at,-0.12497763134749817,0.06269630724148889,0.229704343022377
200069_at,0.3822835111952845,0.013040808872179033,0.09026460178046593
200070_at,-0.1022102775904834,0.5541521734709884,0.7584406904645928
200071_at,-0.06901137371006705,0.6695519446747239,0.8331632832717574
200072_s_at,0.09959826111655268,0.44417455813398377,0.6775889422126077
200073_s_at,-0.2532077888012072,0.27759005870304954,0.5297199004949947
200074_s_at,-0.1421505079413432,0.27709938066583883,0.5292286229090659
200075_s_at,0.033988149627116826,0.801585045140698,0.905766712011672
200076_s_at,0.11765231309229307,0.32950111802025167,0.5792992049836344
200077_s_at,-0.24975457706209703,0.003370061647161957,0.042093656773379985
200078_s_at,0.2704461916620229,0.04742999037237811,0.1958081924092836
200079_s_at,0.1670680090012162,0.12468369825975505,0.3391926319524016
200080_s_at,-0.4520159913420425,0.0020145194778786618,0.031679113175164815
200081_s_at,-0.40691239458787365,8.023736324932997e-05,0.005658003687610189
200082_s_at,-0.2913187051064394,0.009272158650244472,0.07425367473984502
200083_at,-0.02715948230104459,0.7732136944173627,0.8901978018975576
200084_at,-0.0005734794103258167,0.9944547498738714,0.9974559071978578
200085_s_at,0.050097962574325194,0.6549221851449,0.8252710364640867
200086_s_at,0.0341200318916286,0.7733586723852864,0.8901978018975576
200087_s_at,0.09103482138449337,0.5148120621976628,0.7323049589499216
200088_x_at,-0.18706261834503835,0.053184930104024315,0.21016488694945445
200089_s_at,-0.3182719711101889,0.000983224730234152,0.021715922868476983
200090_at,0.08717712030339086,0.35464114787461337,0.6022722939261076
200091_s_at,-0.2112736263287136,0.1925637519511427,0.4347843692083765
200092_s_at,-0.24217538878079026,0.05251477074477876,0.2086259410315554
200093_s_at,0.16127468997802374,0.26187628702614674,0.512897462983832
200094_s_at,-0.554219023047601,1.129650447953977e-05,0.002120579426710914
200095_x_at,-0.3553832113283537,0.000737392286553333,0.018322257938260283
200096_s_at,0.11590177790742118,0.05189855905417907,0.20699044055920388
200097_s_at,-0.36496947756921827,0.0091915814966581,0.07383417825884371
200098_s_at,-0.03681905856996792,0.7012115838837533,0.8516151854525537
200099_s_at,-0.477258529260677,3.618831790546549e-05,0.003750624594825523
200593_s_at,-0.756789651891717,1.9526964126169138e-05,0.002722108776069477
200594_x_at,-0.2629380906143659,0.013564975010138161,0.09263579920392989
200595_s_at,-0.04089108988506318,0.8607523496066836,0.9370205007821829
200596_s_at,-0.3810698419424554,0.05957049129754544,0.22343195717609915
200597_at,-0.009906080815321516,0.9524739444515739,0.9804128281695501
200598_s_at,-1.1138583674647808,0.005331056429366437,0.05491490508997229
200599_s_at,0.06876660952381286,0.689568947580587,0.8452425798414775
200600_at,0.05167387635646925,0.6346980118614867,0.8116951215742371
200601_at,-0.17388710571004218,0.38815282835249293,0.6315477369138413
200602_at,-0.29932798222276347,0.05932299159355614,0.22272934930920213
200603_at,-0.20268407362037344,0.29688557043148234,0.5480893308381432
200604_s_at,-0.5341854820839611,0.044582089110152066,0.18918733415378375
200605_s_at,-0.07447749553756466,0.507570653080708,0.7263196411415987
200606_at,0.3471807864699823,0.15851951304811862,0.3891902059554018
200607_s_at,-0.31308055939274126,0.266352241731744,0.5173125601419376
200608_s_at,-0.04582023942604785,0.7867971608693437,0.8970171980379424
200609_s_at,0.26101081854017316,0.029194812964278265,0.14744968660086413
200610_s_at,-0.5544809558202104,0.0023401890009398353,0.034648791699629464
200611_s_at,0.4398110536297519,0.010523164286880712,0.07970349075613967
200612_s_at,-0.21712915861129467,0.15391049896155354,0.3820416228539933
200613_at,0.029770567070855236,0.8374285707015747,0.9254141747516618
200614_at,0.0956550988550422,0.28032708929002637,0.5322376182258088
200615_s_at,0.03912024736382236,0.774432531430285,0.8905073672995866
200616_s_at,-0.5584682441523316,0.018176100015403443,0.1107211691206219
200617_at,0.24466027065475515,0.10314501022593045,0.3056356732532458
200618_at,0.46881512181279206,0.024131234257826397,0.13108637078672492
200619_at,-0.2955349715062692,0.09004323737017286,0.2819608569870098
200620_at,0.07757138761935067,0.4931620375828597,0.7155778917405002
200621_at,-0.09998798829462885,0.5232150918003103,0.7377344529593394
200622_x_at,0.13964774963967663,0.5267044948744133,0.7398383532851681
200623_s_at,0.41989411202727567,0.11469489258816465,0.3243744499989939
200624_s_at,0.3020365294063083,0.030717657255133875,0.15188105488443499
200625_s_at,-0.04778781472738203,0.7113421293299262,0.8566630637117627
200626_s_at,0.0528510827804034,0.748581570247928,0.8785652441570847
200627_at,-0.07329167160187922,0.4664245776394111,0.6958582527811327
200628_s_at,0.21401519160709093,0.5170670845292775,0.7335459250376196
200629_at,0.7359982154387357,0.09496189926745818,0.2914919761662507
200630_x_at,-0.36798298573273946,0.01849443529304218,0.1117997010971314
