"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"5787","5787",-1.583515,-9.59281575229686,8.42266272060169e-13,3.95574912040607e-10,"GSE53845"
"346689","346689",-1.5255425,-9.57057749694242,9.07482759061723e-13,4.18053855298097e-10,"GSE53845"
"51176","51176",1.330275,9.52792901089363,1.04718282674217e-12,4.71807647213504e-10,"GSE53845"
"5372","5372",-1.0521425,-9.4964948393158,1.16389272361309e-12,5.13386178528902e-10,"GSE53845"
"79940","79940",-0.7299425,-9.39346217449571,1.64690408095312e-12,7.03365284573728e-10,"GSE53845"
"90161","90161",2.63185,9.39581245993243,1.63389319632739e-12,7.03365284573728e-10,"GSE53845"
"28231","28231",-2.737265,-9.38749344264936,1.68041844104214e-12,7.10279959615751e-10,"GSE53845"
"27345","27345",-0.767325,-9.34505699670351,1.93941814349419e-12,8.1138922329859e-10,"GSE53845"
"57716","57716",-0.684365,-9.32550113422964,2.07199588468707e-12,8.58099305779493e-10,"GSE53845"
"255189","255189",-1.24431,-9.31519618226732,2.14550179572209e-12,8.79655736246058e-10,"GSE53845"
"2194","2194",-1.1551775,-9.30767026165283,2.20084337016986e-12,8.9341166511846e-10,"GSE53845"
"9060","9060",-1.598675,-9.30030106558685,2.25642902746926e-12,9.06995981629801e-10,"GSE53845"
"395","395",-1.3157375,-9.28846809863363,2.34866599992099e-12,9.34905883463695e-10,"GSE53845"
"23348","23348",-1.1382575,-9.27971844059998,2.4193088893234e-12,9.53766004444804e-10,"GSE53845"
"6196","6196",-1.18629,-9.27329771167754,2.47250978311498e-12,9.6545620102585e-10,"GSE53845"
"3426","3426",1.090915,9.24608250561654,2.71144553199925e-12,1.04876666803745e-09,"GSE53845"
"6423","6423",3.93003,9.24124679142664,2.75627840481597e-12,1.05614406165846e-09,"GSE53845"
"23213","23213",2.5878975,9.21515026449858,3.01146538553339e-12,1.1327530349254e-09,"GSE53845"
"23287","23287",-0.757017500000001,-9.20963599788586,3.06836885406277e-12,1.13336146861778e-09,"GSE53845"
"57664","57664",1.26356,9.21193496560696,3.0445143242229e-12,1.13336146861778e-09,"GSE53845"
"55101","55101",-0.694725,-9.19521017779855,3.22242113636432e-12,1.17493597725667e-09,"GSE53845"
"220","220",2.593125,9.19208743445339,3.25678356592147e-12,1.17493597725667e-09,"GSE53845"
"7982","7982",-0.866835000000001,-9.18906671046182,3.29037528536325e-12,1.17493597725667e-09,"GSE53845"
"149466","149466",-0.6402375,-9.18860395413534,3.29555213132969e-12,1.17493597725667e-09,"GSE53845"
"8544","8544",-1.36969,-9.1655242344896,3.56445136567816e-12,1.25984918959314e-09,"GSE53845"
"33","33",-1.502585,-9.15517654211613,3.69209953263762e-12,1.29381265673626e-09,"GSE53845"
"24141","24141",2.72573,9.15243381451863,3.72670048089869e-12,1.29487050607497e-09,"GSE53845"
"2184","2184",-0.79511,-9.13637177256393,3.93600444700029e-12,1.3561023724959e-09,"GSE53845"
"6091","6091",1.0604975,9.10300265715782,4.40956003504755e-12,1.50659967864125e-09,"GSE53845"
"333926","333926",0.564885,9.0877472119476,4.6448214824423e-12,1.55308312104097e-09,"GSE53845"
"6447","6447",2.127225,9.08683718015206,4.65924936312291e-12,1.55308312104097e-09,"GSE53845"
"56938","56938",1.6769625,9.06701787421038,4.98493668914066e-12,1.63505923403814e-09,"GSE53845"
"6888","6888",-0.646770000000001,-9.04723268466822,5.33298850730515e-12,1.73533753015485e-09,"GSE53845"
"3208","3208",-0.860485,-9.03915466804983,5.48205036750197e-12,1.75121629386774e-09,"GSE53845"
"79022","79022",-1.052845,-9.03540641446596,5.55263702933675e-12,1.75121629386774e-09,"GSE53845"
"1734","1734",2.757095,9.03693612377425,5.52371963819289e-12,1.75121629386774e-09,"GSE53845"
"83733","83733",-0.583225,-9.03693690457497,5.52370491691969e-12,1.75121629386774e-09,"GSE53845"
"8809","8809",-1.10828,-9.00723404421543,6.11337693179648e-12,1.89885192578527e-09,"GSE53845"
"7043","7043",1.95694,9.00827582954489,6.09165763025359e-12,1.89885192578527e-09,"GSE53845"
"122786","122786",1.3481725,8.9912645461671,6.45626072952071e-12,1.99027586398759e-09,"GSE53845"
"3241","3241",-1.27088,-8.97613131905793,6.79908372793451e-12,2.0649069099653e-09,"GSE53845"
"9173","9173",-3.40279,-8.94775613171454,7.49218417753195e-12,2.24666021131585e-09,"GSE53845"
"148398","148398",1.475305,8.94717373697665,7.50713290122613e-12,2.24666021131585e-09,"GSE53845"
"56994","56994",-1.0138325,-8.93812350181389,7.74333618714401e-12,2.30055640342684e-09,"GSE53845"
"3632","3632",-0.929187500000001,-8.89226498972383,9.06059044896374e-12,2.65345863148224e-09,"GSE53845"
"146894","146894",-0.816995,-8.86349008333926,1.00003420143073e-11,2.86723092717901e-09,"GSE53845"
"2289","2289",-2.605185,-8.85411519238581,1.03272791368894e-11,2.94040586536434e-09,"GSE53845"
"8717","8717",0.455955,8.83518297055132,1.10207592189868e-11,3.09487073957848e-09,"GSE53845"
"728978","728978",2.141305,8.81593971846781,1.17737996731767e-11,3.28384888843704e-09,"GSE53845"
"151126","151126",-1.8064225,-8.79739974450786,1.25483812412055e-11,3.47624074925287e-09,"GSE53845"
"347694","347694",-1.3327925,-8.79335498149426,1.27240831164031e-11,3.50125777028542e-09,"GSE53845"
"38","38",-0.706900000000001,-8.78738182414554,1.29881004474377e-11,3.52657032016519e-09,"GSE53845"
"4329","4329",-0.792447500000001,-8.74910053030665,1.48164220549837e-11,3.99653489641009e-09,"GSE53845"
"3977","3977",-0.6574625,-8.73946050997905,1.53163983224197e-11,4.10439432169417e-09,"GSE53845"
"1236","1236",2.9389025,8.72783552568115,1.59420063619295e-11,4.24430039505914e-09,"GSE53845"
"940","940",1.75926,8.72089909047543,1.63275042416012e-11,4.2935817303487e-09,"GSE53845"
"8692","8692",-1.73656,-8.71563840759042,1.66261259574114e-11,4.34185454938768e-09,"GSE53845"
"119587","119587",2.239975,8.70273320842638,1.73822210104351e-11,4.51057633815089e-09,"GSE53845"
"9509","9509",-0.691045,-8.68894998417311,1.82280907072197e-11,4.67094824372505e-09,"GSE53845"
"727701","727701",-1.072675,-8.68580908359299,1.84265811120093e-11,4.69248338877256e-09,"GSE53845"
"2824","2824",-1.647985,-8.68106321689511,1.87306392041999e-11,4.71138777528954e-09,"GSE53845"
"885","885",-1.5697175,-8.6823737923406,1.86461713214497e-11,4.71138777528954e-09,"GSE53845"
"7855","7855",-1.050515,-8.65061520139472,2.08054128764251e-11,5.20135321910628e-09,"GSE53845"
"10241","10241",-0.786062500000001,-8.64343259729862,2.13277183434488e-11,5.2996148610994e-09,"GSE53845"
"57228","57228",-0.6730925,-8.63659431924595,2.18372629303904e-11,5.39354084425304e-09,"GSE53845"
"6945","6945",-0.683657500000001,-8.62517695362751,2.27155086874179e-11,5.54366581061984e-09,"GSE53845"
