drug,baseline_score,baseline_rank
ASC-J9,0.056254681647940064,833
TH-302,0.05631086142322095,834
eperezolid,0.05666666666666667,835
MK-5108,0.05743445692883892,836
voxtalisib,0.0579962546816479,837
betulinic-acid,0.058352059925093624,838
histamine,0.05838951310861426,839
ostarine,0.05855805243445695,840
NU-7441,0.05882022471910109,841
valdecoxib,0.05917602996254678,842
naringenin,0.05932584269662922,843
indoprofen,0.059344569288389507,844
atracurium,0.05971910112359548,845
meloxicam,0.059981273408239694,846
oxiconazole,0.06,847
amfepramone,0.06011235955056181,848
ZK-93423,0.060393258426966245,849
AZD-3514,0.061161048689138575,850
disulfiram,0.06134831460674156,851
DPCPX,0.06159176029962546,852
donepezil,0.06170411985018724,853
cordycepin,0.06224719101123595,854
WYE-125132,0.06237827715355805,855
praziquantel,0.062397003745318314,856
bruceantin,0.06252808988764041,857
talinolol,0.06271535580524346,858
trilostane,0.06277153558052431,859
estradiol,0.06280898876404498,860
elvitegravir,0.06294007490636704,861
timofibrate,0.06299625468164796,862
rimexolone,0.06316479400749064,863
desoxypeganine,0.06342696629213485,864
thiothixene,0.06389513108614232,865
A-443654,0.06389513108614236,866
sumatriptan,0.06445692883895132,867
closantel,0.0644756554307116,868
mepyramine,0.0644943820224719,869
dinoprost,0.06475655430711613,870
bazedoxifene,0.06490636704119848,871
ramelteon,0.06499999999999997,872
metoclopramide,0.065,873
etomoxir,0.06520599250936329,874
yohimbine,0.06529962546816481,875
ABT-724,0.06533707865168539,876
cisapride,0.06544943820224722,877
estramustine-phosphate,0.06556179775280899,878
sorbinil,0.06580524344569286,879
tolperisone,0.06599250936329593,880
zaleplon,0.06606741573033709,881
ipratropium,0.06632958801498123,882
metolazone,0.06632958801498129,883
celecoxib,0.06632958801498129,884
lenvatinib,0.06644194756554306,885
SB-683698,0.06647940074906367,886
halcinonide,0.06698501872659174,887
asenapine,0.06700374531835208,888
FK-866,0.0670411985018726,889
MK-8033,0.06704119850187268,890
pomalidomide,0.06711610486891384,891
tolimidone,0.06711610486891387,892
sulfasalazine,0.06735955056179775,893
amiprilose,0.06737827715355799,894
sodium-tanshinone-ii-a-sulfonate,0.06750936329588013,895
WZ-7043,0.06754681647940072,896
gliquidone,0.06771535580524346,897
TG-100115,0.06773408239700374,898
furosemide,0.06795880149812733,899
AMG-517,0.0679775280898876,900
norgestrel,0.0680711610486891,901
equol,0.06808988764044942,902
escitalopram,0.06808988764044945,903
anidulafungin,0.06816479400749062,904
tamoxifen,0.0684644194756554,905
ethylenediaminetetraacetic-acid,0.06850187265917601,906
diphenidol,0.06850187265917604,907
tetracaine,0.06865168539325844,908
lobenzarit,0.06874531835205996,909
DMP-777,0.06893258426966292,910
bendamustine,0.0690823970037453,911
epinephrine,0.06913857677902616,912
telatinib,0.06915730337078649,913
VT-464,0.06955056179775282,914
zosuquidar,0.06964419475655431,915
berberine,0.06975655430711611,916
tolazamide,0.06988764044943818,917
piperidolate,0.07001872659176028,918
quinine,0.07007490636704128,919
arofylline,0.07016853932584272,920
olmesartan-medoxomil,0.07028089887640449,921
serdemetan,0.07028089887640451,922
dimesna,0.07037453183520592,923
fenoldopam,0.07074906367041196,924
econazole,0.07088014981273408,925
AMG-837,0.07088014981273408,926
