drug,trace_score,trace_rank
meptazinol,-0.0005820768941244172,498
sodium-tanshinone-ii-a-sulfonate,-0.0005867550971364834,499
prednisone,-0.0005987087064114471,500
duloxetine,-0.0006429935298768446,501
LY-2334737,-0.0006546847100943948,502
ebselen,-0.0006829378587144977,503
methylstat,-0.0007135935124015523,504
finasteride,-0.000729452422214576,505
gliquidone,-0.0007763395038453276,506
sasapyrine,-0.0009068627033848006,507
ganciclovir,-0.0009231651102590934,508
mibefradil,-0.00105366660177467,509
lersivirine,-0.0011816045493840842,510
CEP-37440,-0.001268634460381775,511
GDC-0834,-0.0012735363519039355,512
amodiaquine,-0.0013803582484030697,513
BMS-299897,-0.0014582282285235746,514
golvatinib,-0.0015369342044844942,515
chlorpromazine,-0.001643724181984676,516
birinapant,-0.0017107807243359838,517
piketoprofen,-0.0017510925903188805,518
lesinurad,-0.001755736203404426,519
cefdinir,-0.0018945370857774784,520
pentamidine,-0.0019096774294277618,521
riociguat,-0.0019301679870694357,522
BS-181,-0.002096569940676469,523
benzbromarone,-0.002102555542163786,524
AZD-7687,-0.0021243331814649108,525
dosulepin,-0.0021782473584382816,526
rilpivirine,-0.0021812030211210516,527
WZ-7043,-0.0022567607526960743,528
elesclomol,-0.0022956099717166504,529
ostarine,-0.0023757399068151854,530
MGCD-265,-0.002409565466024849,531
elacridar,-0.0024244822862548926,532
MK-8033,-0.002500773113278604,533
KW-2449,-0.0025416645279127603,534
rottlerin,-0.00256284925552093,535
ambrisentan,-0.00277695259085403,536
filgotinib,-0.0028076249799034955,537
cyproheptadine,-0.0028788315415315914,538
valproic-acid,-0.00310926227006196,539
trehalose,-0.0031172621448352987,540
benazepril,-0.003382496051046999,541
rabeprazole,-0.003538239010997728,542
adenosine,-0.0036323759076204035,543
cyclobenzaprine,-0.0036367817026129686,544
L-690330,-0.003689911275894113,545
azithromycin,-0.003728819967491791,546
alectinib,-0.003740742121974751,547
topiramate,-0.003755166069632521,548
tolcapone,-0.0038309329169222742,549
olprinone,-0.00383310220122629,550
SR-2640,-0.0038842720454043324,551
amikacin,-0.0038875428175638087,552
telcagepant,-0.0038946340586489,553
PI-103,-0.00396156801661198,554
AVN-944,-0.0040057627762894,555
meglitinide,-0.0041902374905093,556
penfluridol,-0.00426005979857693,557
fluticasone-propionate,-0.004336771962679123,558
BMS-927711,-0.004347315714432043,559
betahistine,-0.00442655599129546,560
PF-04447943,-0.004468572694358843,561
actarit,-0.0044941618836515955,562
GSK-923295,-0.004846887570109852,563
teneligliptin,-0.004872625518551436,564
aliskiren,-0.004913794795752241,565
acecainide,-0.0049423790652049155,566
ritonavir,-0.004999180129205276,567
dilazep,-0.005021615007375043,568
indacaterol,-0.005041762299867694,569
L-NAME,-0.0051184109691039415,570
lomerizine,-0.005130174036034271,571
dimethyl-fumarate,-0.005234336185234298,572
levetiracetam,-0.005244468172555168,573
CL-218872,-0.005344999871962348,574
lisinopril,-0.005480476047523005,575
delanzomib,-0.005509288980803333,576
norfloxacin,-0.005653375351194133,577
LY-2886721,-0.005664818207505092,578
torasemide,-0.005698685799931208,579
dexniguldipine,-0.005740174035166256,580
epirizole,-0.005791155511358261,581
voriconazole,-0.005811772514693458,582
lonafarnib,-0.006067384753309051,583
chlorprothixene,-0.006082611356204878,584
GSK-690693,-0.00608364401437896,585
miglitol,-0.00612683130282042,586
simeprevir,-0.006162105248487944,587
efavirenz,-0.006189242236084229,588
fingolimod,-0.0062061104649296225,589
amiloride,-0.0062085129147497736,590
entinostat,-0.006222716863542712,591
tasquinimod,-0.0062894085628777165,592
tolazamide,-0.006348850089891455,593
