drug,weighted_trace,weighted_rank
beclomethasone-dipropionate,-0.018067715491762455,642
verapamil,-0.018122527443380675,643
KU-55933,-0.01813484466516288,644
raltegravir,-0.01819423449380106,645
molindone,-0.018230213041364948,646
unc-0646,-0.018373254132227852,647
amuvatinib,-0.018379266525469392,648
benzamil,-0.01838209775555238,649
TG-100115,-0.018438963663192996,650
GDC-0068,-0.018601648177254307,651
CPI-613,-0.018657156086942878,652
pindolol,-0.018716160291627502,653
BIX-02189,-0.018722676077089894,654
ARRY-334543,-0.018723442344417553,655
mefloquine,-0.01873267455738671,656
pentamidine,-0.018805669576593166,657
phenylbutazone,-0.018898000856551453,658
roquinimex,-0.01899754504105158,659
donepezil,-0.01903292825178004,660
rilmenidine,-0.01905165354638462,661
sulbactam,-0.01919030043003024,662
tetradecylthioacetic-acid,-0.01922703473700488,663
tioconazole,-0.019230700921276312,664
acetylcysteine,-0.019241596169458135,665
AVN-944,-0.01924521684883965,666
efavirenz,-0.0195259931931454,667
pyrazinoylguanidine,-0.0195620285027663,668
argatroban,-0.019594154760162664,669
indacaterol,-0.019973182345593293,670
dexloxiglumide,-0.019973525120523423,671
picolinic-acid,-0.020025594171559552,672
betahistine,-0.02008953773027698,673
ABT-239,-0.02024323220368194,674
tamsulosin,-0.02025978135141793,675
mannitol-D,-0.020305782560921307,676
pevonedistat,-0.020309716898026183,677
warfarin,-0.02031017854335249,678
filgotinib,-0.020390193806473136,679
tretinoin,-0.02039202560056343,680
tizanidine,-0.020400266942346396,681
empagliflozin,-0.020426458742048736,682
etodolac,-0.020481028246010394,683
2-methoxyestradiol,-0.0205371357994891,684
PS-178990,-0.020553034913665343,685
actarit,-0.020572214902980727,686
metoprolol,-0.020631929785152055,687
lopinavir,-0.02065345780586037,688
WAY-362450,-0.020754203940627335,689
BAY-87-2243,-0.02081763817411215,690
milrinone,-0.020819132860673276,691
flavoxate,-0.020855654133615047,692
retigabine,-0.020855700417056783,693
esculin,-0.021010783135004815,694
GSK-1059615,-0.021119022310817692,695
pibenzimol,-0.021132038678647793,696
metatinib,-0.02113270256983958,697
cabozantinib,-0.021347140834015513,698
urea,-0.021483204769525466,699
nicaraven,-0.021502535465596554,700
LCL-161,-0.02150743910963381,701
lofexidine,-0.0216292443510618,702
cefepime,-0.0216543406011493,703
etazolate,-0.021755662810274006,704
tazobactam,-0.021820938633393464,705
lesinurad,-0.021858015212012392,706
telcagepant,-0.02205444476647552,707
solifenacin-succinate,-0.02214773956850022,708
voriconazole,-0.022342214510562074,709
tagatose,-0.022402578302747715,710
ellagic-acid,-0.022414074109858177,711
dasabuvir,-0.022475733638214323,712
setiptiline,-0.022499437175048424,713
benzotript,-0.022617818173125186,714
nefazodone,-0.022639719177184273,715
fenoldopam,-0.022745393617535047,716
tetrindole,-0.022891472146654563,717
ivermectin,-0.022969062342839883,718
ataluren,-0.023162824993896085,719
YM-976,-0.023324578493810536,720
rolipram,-0.023366147549127112,721
AMG-517,-0.023401978669264644,722
inositol,-0.023459198618748043,723
epinastine,-0.023580242879801407,724
fluphenazine,-0.02361178761297373,725
mycophenolate-mofetil,-0.023620536694553364,726
lamivudine,-0.023621215696357844,727
DPI-201106,-0.023659778870638165,728
CC-401,-0.02376925704086122,729
KBG,-0.023821302543211118,730
SB-271046,-0.023838838273078023,731
ASA-404,-0.024117409850753786,732
NVP-BGJ398,-0.024265375903287676,733
sitagliptin,-0.0243355453937639,734
lorazepam,-0.024455337891378107,735
rifabutin,-0.02451584809635001,736
masoprocol,-0.0245342204103273,737
SR-57227A,-0.024538690616088772,738
methylnaltrexone,-0.02455695174919858,739
arbutin,-0.02464722514379292,740
epinephrine,-0.02481468595050309,741
eplerenone,-0.024906006597596706,742
GSK-923295,-0.024969510908785592,743
oxybuprocaine,-0.024996820768119602,744
dofequidar,-0.02500594418920888,745
tacalcitol,-0.025043778735819134,746
TG-100801,-0.025048923145967655,747
EMD-53998,-0.025056697872043513,748
raclopride,-0.025066042234077213,749
rilpivirine,-0.0251100494848305,750
zidovudine,-0.025118808483760833,751
CL-218872,-0.025128585100542878,752
aprepitant,-0.025129422108123915,753
DMP-543,-0.025153861185694442,754
pregnenolone,-0.025190998405337173,755
mycophenolic-acid,-0.02520841971154613,756
palomid-529,-0.025232148282928638,757
sasapyrine,-0.025264058507458078,758
carvedilol,-0.025371983088109958,759
pomalidomide,-0.025442497905346667,760
gabapentin,-0.025589919218194063,761
BRD-K73261812,-0.025677803860041086,762
lurasidone,-0.025717872525237846,763
pimecrolimus,-0.025786032010731562,764
AZD-8055,-0.02583273160161808,765
methazolamide,-0.025913726804130243,766
ciglitazone,-0.02601875378297914,767
