entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
26537,234770_at,0.028477681809716326,0.8713550847259964,0.027341241357255446,0.3904802908930768,0.8235808980416454,19,13
26538,208543_at,0.00013360689068830922,0.013917269546312366,0.009978215263641215,0.9889881278154947,0.9998068135441197,19,13
26539,208558_at,-0.00265145823076951,-0.1748589586058309,0.016207236143993126,0.8623652515484989,0.9996525187900612,19,13
26541,1567254_at,-0.0027401583076929192,-0.08293328643367424,0.03499024464553353,0.934455488813034,0.9996525187900612,19,13
26548,219829_at,0.0015970128987854437,0.1561909392083235,0.01101290056687503,0.8769288440045536,0.9996525187900612,19,13
26574,209165_at,0.2826074741174107,3.886639040669482,0.07609420885022408,0.0005209215556606307,0.013333982235835666,19,13
26575,220334_at,0.06355688830769246,1.5070114780096624,0.035282823365995,0.14226662888057362,0.5074407226342154,19,13
26576,206216_at,0.08492066496356276,0.5874420013929196,0.13489253903103612,0.5613027118672212,0.9288115547247647,19,13
26577,219295_s_at,-0.0069270390121456415,-0.24022889155564559,0.030526836783004923,0.8117868284401331,0.9992561896838422,19,13
26578,204479_at,0.1762454664048576,0.8532722628603867,0.195718392419922,0.4002700317456245,0.8316775855321129,19,13
26579,227342_s_at,1.2899503433927118,3.45537963904674,0.323832599795353,0.001662157987138248,0.02761682143362527,19,13
26584,208176_at,-0.011844450149797847,-0.2740895652909745,0.046504786042833736,0.7858942744384648,0.996197469116776,19,13
26585,218468_s_at,1.8515818749068824,2.135856194347126,0.7859638607087659,0.040969481718815225,0.23411438262711357,19,13
26586,234884_x_at,1.533207695591095,2.5471713104063674,0.5639611436489016,0.016226343046754427,0.1261805299504051,19,13
26589,219244_s_at,0.1081108769311756,0.8004588667293598,0.1378098070458461,0.4297386932436453,0.8527861154579088,19,13
26595,1568939_at,-0.0010904969878544613,-0.11586408958179346,0.009681502205181346,0.9085323672292788,0.9996525187900612,19,13
26608,212685_s_at,0.46131153613765186,5.7729801869514095,0.07226351344882807,2.6339572513708075e-06,0.0009665208907295228,19,13
26610,203829_at,-0.19589225779352226,-1.4216501427020678,0.1449848187363334,0.1654411487633177,0.5536137345391025,19,13
26628,222304_x_at,0.23393249646558711,2.047247691522746,0.10761048270436684,0.0494789931352797,0.2645476187826538,19,13
26648,215463_at,0.015191079587044687,0.7822181074762249,0.018370925581133304,0.4402170955118212,0.8613336286783662,19,13
26651,216536_at,-0.00166460904858301,-0.2014515940722444,0.008699170799945637,0.84170520984854,0.9996525187900612,19,13
26658,208507_at,-0.003544331404858214,-0.6219170301929828,0.006319899296894185,0.5386945499281818,0.9176857615617179,19,13
26659,208285_at,0.009247932574899309,0.5264084049286927,0.017314929221168195,0.6024750518481459,0.946953499687106,19,13
26664,216690_at,0.025062863388664258,0.5187338138007694,0.04635198416674199,0.6077519411143281,0.9490408034267597,19,13
