,pearson,cmap,net_trace,reversal_rank,scrna_rank
bosentan,-0.046090826408954774,0.11973684210526317,-0.0618728429447731,1576,1264.0
bosutinib,-0.06964112281079037,0.09153508771929822,0.0396286570201683,114,1499.0
brequinar,-0.045749938974266637,0.0,-0.0187878362508306,831,1259.0
bretazenil,0.010083162772372709,-0.07618421052631583,-0.040229857963694,1277,742.0
brexpiprazole,-0.04883771202520665,0.11991228070175441,0.0520361414103587,75,1295.0
brivanib,-0.05915183616339814,0.0,-0.0825928576517562,1712,1401.0
brivudine,0.028400990584829536,-0.09407894736842107,0.0179648072774977,255,564.0
bromocriptine,0.050759437653343446,-0.13916666666666666,-0.039121124102227,1251,376.0
bropirimine,-0.027890092632894402,0.0,-0.0369057531074032,1203,1101.0
broxuridine,-0.029216308715938485,0.0,0.0132502219579553,307,1111.0
bruceantin,0.009895713144750656,0.1269298245614035,0.0097519190050567,347,746.0
bucladesine,-0.09349793334997994,0.16412280701754386,-0.0257754273536393,971,1660.0
budipine,-0.04475737451634395,0.13464912280701757,0.0218858486748815,215,1253.0
buflomedil,-0.04745925664808946,0.06293859649122813,-0.0129299346221907,716,1279.0
bumetanide,0.07422808885453508,-0.1258771929824562,-0.0146417641501581,762,187.0
buparlisib,-0.13515709065728138,0.2522368421052632,-0.021772896755604,895,1760.0
bupivacaine,0.06672150546468986,-0.12938596491228072,0.0096442340815492,352,239.0
bupropion,-0.04350280336972191,0.0,-0.0394562135096564,1258,1239.0
buspirone,-0.04599881302404527,0.0,-0.0587700265262825,1548,1263.0
busulfan,-0.0556163464449776,0.08530701754385961,-0.0224953317201761,908,1366.0
butaclamol,0.02857561332536521,-0.10964912280701752,-0.0230157854315569,916,562.0
butoconazole,0.07596606642662936,-0.11105263157894735,-0.0505364817691032,1444,166.0
butorphanol-(+)-tartrate,0.08466219305139204,-0.14605263157894738,0.0039204806195775,419,116.0
cabazitaxel,-0.05059291167285832,0.12052631578947365,0.0278072709993405,178,1312.0
cabergoline,-0.0671057206337259,0.16245614035087722,0.0225867658711242,207,1472.0
cabozantinib,-0.000977282452380733,0.0,-0.0103707176014338,664,861.0
caffeine,0.07255284760419234,-0.11276315789473684,0.0359909207552588,131,199.0
calcitriol,0.02657080436651083,0.0,-0.0158315110808714,787,579.0
calpain inhibitor ii,0.04556788516125788,0.0,0.0421623829135591,104,417.0
calpeptin,-0.05443039256086029,0.09399122807017543,-0.0301468867744549,1075,1353.0
camicinal,-0.03345971225835245,0.06061403508771929,-0.0276400698145776,1008,1149.0
camostat-mesilate,0.0416888044883471,0.0,-0.0411775027499698,1297,445.0
camptothecin,0.003064734259866703,0.06333333333333332,0.0018384317085605,448,813.0
canagliflozin,-0.03270409365520422,0.0,-0.0687597995077576,1640,1143.0
candesartan,0.11190191581083822,-0.15276315789473682,-0.0171988247035969,805,17.0
canertinib,0.022026604252219348,0.0,0.048160065493379,84,621.0
capecitabine,0.02838676910723371,-0.0817982456140351,-0.031626997829099,1111,565.0
capsaicin,-0.026578672394059182,0.07706140350877191,-0.0167335574398664,800,1089.0
carbachol,0.07126593647524222,-0.17403508771929826,-0.0643025003951606,1610,211.0
carbamazepine,-0.1101314938652379,0.18030701754385964,-0.0234682046111543,924,1729.0
carbenoxolone,-0.03871175631975432,0.08491228070175438,-0.0255088822580765,966,1196.0
carbimazole,-0.06580722646816896,0.1405701754385965,-0.0543297959561191,1486,1456.0
carfilzomib,-0.04224988675871401,0.13701754385964912,0.0181505730702242,252,1226.0
carglumic-acid,-0.022013330386296073,0.11171052631578948,0.0119350119407325,323,1045.0
cariporide,0.06731173919011145,-0.14381578947368417,-0.0118232871579487,692,236.0
cariprazine,0.04395671124571781,-0.10565789473684215,0.0206913040520253,229,430.0
