,pearson,cmap
PCA-4248,0.10935498542978044,-0.14469298245614037
PCI-24781,-0.05422552829337722,0.10368421052631577
PD-0325901,-0.09338604893203148,0.0
PD-123319,0.03665567564312801,-0.09114035087719301
PD-153035,0.016252016191852837,0.06456140350877188
PD-173074,0.037309146006200285,-0.08960526315789472
PD-184352,-0.06265820547777001,0.0
PF-02545920,0.05694871981001771,0.0
PF-03084014,-0.0322193465450882,0.13201754385964917
PF-03758309,-0.06539061983319663,0.1205701754385965
PF-03814735,-0.0923438853117746,0.1660964912280702
PF-04136309,-0.011273763074889746,-0.06092105263157899
PF-04217903,0.09143395723527599,-0.14403508771929824
PF-04447943,0.0012916568810893377,-0.08394736842105266
PF-04457845,-0.09889193452814847,0.18328947368421053
PF-04620110,0.04942689437955652,-0.12197368421052628
PF-04691502,-0.08011975724031521,0.15561403508771932
PF-431396,-0.0917363161160494,0.0
PF-477736,0.029658183159959283,0.0
PF-562271,-0.060217930531533174,0.0
PF-573228,-0.011234196321325907,0.0
PFI-1,0.07804676952769146,-0.09061403508771929
PH-797804,-0.09143404984402323,0.14171052631578948
PHA-665752,0.002864656462636502,-0.07609649122807016
PHA-767491,0.007465877900896052,0.0
PHA-793887,-0.08536270007619318,0.12653508771929828
PHA-848125,-0.009577781898129672,0.12583333333333332
PI-103,-0.09635120452660192,0.19214912280701757
PIK-93,-0.04302284882103294,0.10973684210526313
PK-11195,0.004755696250114014,0.0
PKI-179,-0.0883528030979069,0.15956140350877193
PLX-4720,0.011982260679390967,0.0
PRX-08066,-0.014543610531005436,0.0
PS-178990,0.01711596926586271,-0.07640350877192986
PSI-6130,-0.05713434364205016,0.1614473684210526
PSI-7976,0.018576210570968536,-0.10899122807017544
PX-12,-0.041629144907407024,0.12478070175438596
QL-X-138,-0.08604600905758893,0.20618421052631586
QL-XI-92,-0.002080238961671767,0.0
QL-XII-47,-0.01239022299377947,0.1498684210526316
R-428,0.034144357740799,-0.11947368421052632
R-547,-0.06277291761969442,0.1286842105263158
RAF-265,0.013804865133361337,0.10517543859649126
REV-5901,-0.0775516123700042,0.09307017543859647
RG-108,-0.07493479801925725,0.12364035087719294
RG-2833,-0.07368579049631808,0.12929824561403508
RG-4733,0.021985669637873805,0.0
RGFP-966,-0.05553435316997582,0.0
RHO-kinase-inhibitor-III[rockout],-0.024435534083746012,0.10504385964912288
RS-127445,-0.061365164351697615,0.1450438596491228
RU-58841,0.03485878553469438,-0.0977631578947368
Ro-4987655,-0.08868365163301649,0.0
S-18986,0.08585602534871872,-0.186578947368421
S-ruxolitinib,-0.07388720639115208,0.1155263157894737
SAR-245408,0.0024804611009522784,0.0
SAR-245409,0.031102259146538355,-0.08881578947368426
SB-203580,-0.020458938731309082,0.0
SB-216763,0.0895631606228869,-0.1758333333333333
SB-239063,-0.02880373322302556,0.0
SB-242235,-0.1675505990175351,0.26938596491228073
SB-271046,0.08694011083126547,-0.1405263157894737
SB-525334,0.11905723652881155,-0.14157894736842108
SB-590885,0.05482574313593864,-0.11491228070175435
SB-683698,0.034828653583057,-0.14004385964912278
SB-705498,-0.03546480638636521,0.0
SB-743921,-0.018094538761455847,0.10728070175438595
SB-756050,-0.07684737206779872,0.1542982456140351
