,rwr_up,rwr_down,rwr_net
100131902,1.2830998915223678e-11,2.0744418349750737e-10,-1.946131845822837e-10
100132074,6.245165787200459e-07,2.2136132969622064e-06,-1.5890967182421605e-06
100132399,2.3049901361488443e-07,3.432340247874365e-05,-3.4092903465128765e-05
100132463,5.424407825691217e-06,1.771410328522015e-06,3.6529974971692017e-06
100132476,1.230854182674074e-09,7.535935778771243e-08,-7.412850360503836e-08
100132963,0.0,0.0,0.0
100132994,0.0,0.0,0.0
100133251,0.0,0.0,0.0
100133941,0.0008895915593561796,5.387284028348495e-06,0.000884204275327831
100134444,5.590585801545292e-07,1.6238171494744336e-06,-1.0647585693199043e-06
100134934,3.1817692356366524e-07,4.098438511137364e-06,-3.780261587573699e-06
100137049,3.603955765242785e-06,6.371181918421669e-06,-2.767226153178884e-06
10014,1.2844446227578411e-05,2.601486282817915e-05,-1.3170416600600738e-05
10015,2.2127476088552574e-05,1.8826166646320196e-05,3.3013094422323778e-06
100151643,2.6090912051310905e-05,2.254749612450968e-07,2.586543709006581e-05
10016,6.568829271564381e-06,0.0001622591036114529,-0.00015569027433988853
100169851,0.0,0.0,0.0
10017,1.2720521635769392e-06,1.063348587659881e-05,-9.361433713021871e-06
10018,3.425079290960142e-06,6.891632505313361e-05,-6.549124576217347e-05
100188893,1.0188188662721813e-07,1.6328518446263232e-05,-1.6226636559636013e-05
10019,9.775214802525651e-06,2.460659806550551e-06,7.3145549959751e-06
1002,2.4198083975120126e-05,3.4357223816143195e-07,2.3854511736958695e-05
10020,3.8329753682629055e-06,2.5199235008235193e-05,-2.1366259639972288e-05
10021,3.5324348254026963e-06,1.8038454526224137e-06,1.7285893727802826e-06
10022,1.0035679469172748e-06,1.7555762571207067e-07,8.280103212052041e-07
10023,8.867605146142698e-07,9.911963962039576e-06,-9.025203447425306e-06
10024,8.256126114193193e-07,1.4860392785495567e-06,-6.604266671302374e-07
10025,5.422012101669006e-06,5.222146789750451e-05,-4.67994557958355e-05
10026,1.1798690435347083e-05,4.5548333721049145e-05,-3.374964328570206e-05
100271849,1.6620940246072454e-05,5.3182887502375085e-06,1.1302651495834946e-05
100272147,3.806487943407533e-08,1.5735418066354404e-05,-1.569735318692033e-05
100287399,7.542621295945658e-07,4.0142331897418893e-08,7.141197976971469e-07
100287482,5.6641045366132324e-06,5.459868841402134e-05,-4.893458387740811e-05
100287932,4.196481899238409e-06,0.00013341592929166766,-0.00012921944739242925
100288323,2.143669179827109e-11,2.3160439247484504e-12,1.912064787352264e-11
100288485,2.2796436530668322e-07,1.0342584967023137e-07,1.2453851563645186e-07
100288687,2.6584544799809287e-07,2.470975517324174e-05,-2.4443909725243646e-05
100288801,7.354969971755162e-09,1.8956734227954625e-07,-1.822123723077911e-07
100288814,3.383525712712785e-05,2.902895015571652e-06,3.0932362111556196e-05
100289462,2.1528763936036527e-07,3.285169862668997e-06,-3.0698822233086317e-06
100289635,3.278092421137557e-06,1.2035996900895508e-05,-8.75790447975795e-06
100289678,2.8853337525508475e-05,1.2085610340862793e-06,2.7644776491422195e-05
1003,0.00012323483597634387,5.813444423348577e-06,0.0001174213915529953
100302736,1.2375841359726477e-06,7.46314062338574e-07,4.912700736340736e-07
100303755,3.587720564288455e-08,3.7106521434199536e-05,-3.707064422855665e-05
100310812,6.25079223706612e-06,1.0483237480835921e-07,6.145959862257761e-06
100310846,0.0,4.1692598070977967e-07,-4.1692598070977967e-07
100316904,9.796490290137304e-08,2.2129363586838664e-06,-2.1149714557824932e-06
10036,6.193175587607905e-07,1.850739204627743e-05,-1.788807448751664e-05
10038,0.00010799058929175786,9.072018095266419e-06,9.891857119649145e-05
100381270,1.276010323279733e-07,4.497819564234783e-06,-4.3702185319068094e-06
10039,8.151572995911801e-05,4.0250391333987306e-06,7.749069082571928e-05
1004,3.411777099762684e-06,6.100067307026478e-07,2.801770369060036e-06
10040,1.939671386553726e-06,5.3516033372460916e-05,-5.157636198590719e-05
10042,1.3617120270861683e-07,3.30553231099025e-05,-3.291915190719388e-05
100423062,1.5194467088889121e-05,1.956933041684777e-05,-4.37486332795865e-06
10043,2.81814473711481e-06,0.00014844989222042332,-0.0001456317474833085
100431172,2.317540174299434e-09,1.3068924861857976e-07,-1.2837170844428033e-07
10044,1.3348123959559416e-05,1.4817502452584283e-05,-1.4693784930248677e-06
10045,0.00012786650519506433,2.062015232031283e-06,0.00012580448996303304
10046,9.869826632646789e-07,1.0069583004437514e-06,-1.997563717907256e-08
100462977,2.0465347591999446e-08,8.74451881443565e-07,-8.539865338515656e-07
100463285,2.25756282596711e-07,2.244763512170959e-07,1.27993137961511e-09
100463289,7.021494277057192e-06,2.1602511473951927e-08,6.99989176558324e-06
