drug,pearson,cmap
GSK-2126458,0.06878683230429791,0.0
GSK-2334470,0.036626755724168354,-0.07638215886760277
GSK-256066,0.013230792649235905,0.0
GSK-2636771,-0.007076764073323621,0.0
GSK-3-inhibitor-II,0.003065103803639908,0.0
GSK-429286A,0.06451337697367764,0.0
GSK-461364,-0.051949146817335964,0.0
GSK-690693,0.028024507172393413,0.0
GSK-923295,-0.10237042235187979,0.0
GSK-J1,-0.017267241306417568,0.0
GSK-J2,0.05318995984802624,-0.07913894730979533
GSK-J4,-0.010769733605448598,0.0
GW-5074,-0.08590798909053911,0.11710387786634337
GW-842166,-0.009054381222288575,0.0
GW-843682X,-0.1505078409222758,0.17779355714149092
Gossypetin,0.03743405266902735,0.0
HC-030031,0.03188092631987358,-0.09349301322747938
HG-14-10-04,0.014656568373717057,0.0
HG-5-113-01,-0.06315325440795437,0.15297935574743163
HG-5-88-01,-0.031862623894733315,0.0
HG-6-64-01,0.06083811225247494,-0.16154318403167903
HG-9-91-01,0.042361522951103806,-0.102590700400752
HMN-214,-0.049490433292844936,0.0
I-BET-151,0.048842877511704776,0.0
I-BET-762,0.060004642455122686,0.0
IB-MECA,0.043563393598052995,-0.1017296558600485
ICI-162846,-0.017040701721106735,0.0
"ICI-185,282",-0.002685372491980788,0.0
ICI-192605,0.002139171024123885,0.0
IKK-2-inhibitor-V,-0.07982014344273583,0.1534741920515439
IKK-inhibitor-X,-0.012248206986465957,0.0
IOWH-032,0.023834849286312892,-0.10736928218497714
IOX2,0.02801110674485061,-0.0914062113506583
IPI-145,-0.06453508308374173,0.10163160284823707
JNJ-26481585,-0.006662493899290636,0.08101717668569715
JNJ-38877605,-0.039308157925748675,0.05497927602736545
JNK-9L,-0.04491881760350708,0.0
JNK-IN-5A,-0.12172235278535229,0.17496084042165655
JQ1-(+),0.006529754930175344,0.07569260871640399
JQ1-(-),-0.007805649549455632,0.0
JTC-801,-0.05756614530864143,0.0
JTE-907,-0.03627841795288968,0.09265377698167837
JW-7-24-1,-0.036248670858897006,0.0
JW55,0.028705669723308458,0.0
JWE-035,0.0004958129458754406,0.0
KBG,-0.015064177372188672,-0.10782335989742127
KD-023,-0.044806346917130244,0.0
KD-025,0.004026002248957181,-0.09337551642758846
KI-20227,0.0921093247281699,-0.13608894513461994
KIN001-043,-0.05430627960904839,0.0
KIN001-055,0.04530389522506777,-0.08565321258921811
KIN001-127,0.05150803342937721,-0.09648741807508021
KIN001-242,-0.04801538008614249,0.0
KIN001-244,-0.05899396761430923,0.0
KIN001-260,-0.002034869116754029,0.0
KIN001-266,-0.06332857899193745,0.07716620812517233
KIN001-269,-0.005569984763817282,-0.08598794114182574
KIN001-270,-0.029872193793223593,0.0
KN-62,-0.059311329289075995,0.10340305872681585
KN-93,0.09002585284975928,-0.13709540709880136
KU-55933,0.00025019475949728047,-0.0966992714554937
KU-60019,0.04188702421469265,-0.13452062849526442
KW-2449,0.04682192035122074,0.0
KW-2478,0.07000022078764742,-0.11545209130229436
KX2-391,-0.07335332485410463,0.1703588967871311
L-655240,0.02739373994831707,0.0
L-690330,-0.01396057951540023,0.0
L-NAME,0.07462887954618139,-0.0927772776473999
L-citrulline,-0.0005470166934040982,0.0
L-ergothioneine,-0.010339331445985582,0.08138260044917112
LCL-161,-0.13864003946632145,0.17459059768690133
LCQ-908,-0.02983161872145677,0.0
LDN-193189,-0.15922491541978023,0.1800144889073689
LGX-818,0.0775954097365096,0.0
LX-1031,0.009411698814100514,-0.06620146375642155
LXR-623,-0.011047118069131109,0.06164807020933612
LY-2090314,-0.026744966743446175,0.0
