drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap,uc_pearson,uc_cmap
AMG-517,-0.01076532442869522,0.09390541371032096,0.011705995441469521,0.0,0.017071493873350496,0.0
AMG-837,-0.04790321329401009,0.10030037340256767,0.0025694476022642084,-0.23729159274385564,0.0154047943223985,-0.09224369773755625
AP-26113,0.05215007901805612,-0.1105669448277628,0.02571486570939027,0.23519144114139992,0.05040111495300284,0.0
APD-668,-0.016008564144683626,0.10217777613293313,0.028681823983811635,0.0,0.0321346881250456,-0.10757731769707954
API-001,-0.01616306679957796,0.0,-0.020533712073413264,-0.26520285197311433,-0.09269649870323622,0.0909219847234145
AR-A014418,0.0036037275818203325,0.0,0.005375508715451862,-0.29937439623834217,-0.007417922900430616,0.0
ARN-509,-0.04137905717959466,0.08594960708976088,0.009681440113672885,-0.3639610998780755,-0.037736850600415775,0.0
ARP-101,-0.011373659737022366,0.0,-0.048073200371852094,-0.19352387902468454,-0.0688114824261763,0.0
ARRY-334543,-0.01057344906475492,0.05473068966507076,-0.016510282872116575,0.0,0.06299021887895531,0.0
AS-601245,-0.022463808020164896,0.10451830474181914,-0.028418928438156025,0.0,-0.08361492794608837,0.10408394873201568
AS-605240,0.06294341081656102,0.0,0.02682365556581728,0.24343910161737717,0.1506758704407898,-0.12486241754543125
AS-703026,0.030301909754603368,-0.10135951189626202,-0.002778153175784886,0.0,0.0588740789709063,0.0
ASA-404,-0.03834406236358402,0.12598531180158262,-0.006378121744012539,0.0,0.05066665454972717,-0.1213720666165254
ASC-J9,-0.014021231114658335,0.0,0.02674400618101593,0.0,-0.0016430771211420549,-0.06609272008029662
AST-1306,0.06960452862824927,-0.10107071926546798,-0.0026474406243044866,0.0,0.07899636343507363,-0.09311934513481047
AT-13387,0.048521131124679644,-0.11303205046427389,0.013918097117622923,0.0,0.061289192104758944,-0.111046075276608
AT-7519,-0.08466422730642582,0.13379472390803998,-0.03781091767800653,0.0,-0.01711627803268141,0.0
AT-9283,0.012834363045605243,0.0,-0.011474963889824245,0.0,0.021927209370214543,0.0
AT7867,0.10964366794490123,-0.19013454219997056,-0.02603385692394764,-0.2129826599699224,-0.0329549110150833,0.0
ATN-161,-0.023602866666622885,0.07748581107166194,0.04042473472538111,0.0,-0.028524690164409557,0.06807279759522941
AV-412,0.02689095196418041,-0.09607402778872648,-0.02069884481697619,0.1986566777125833,-0.00909218556707481,0.0
AV-608,-0.05038017521630425,0.11716374017783318,0.005402626994761064,-0.2874893835053382,0.013032585024047602,-0.0847972536904375
AVL-292,0.034565999637205726,0.0,0.01765270000237356,0.0,0.07824058659783725,-0.09715274977547093
AVN-944,-0.0013071011514041164,0.0,0.023053651055664533,0.0,-0.0018153505489927563,0.0
AZ-20,-0.07570351614711777,0.14204573077359445,0.04230172561472474,0.0,0.030362570997192546,0.0
AZ-628,0.016887133373698515,0.0,0.010777668109176656,0.0,0.13216077378962396,-0.12932083846052272
AZD-1208,-0.06118292885631086,0.14347966222928196,-0.03360224264140657,0.21056164214336348,-0.011275970104485653,0.0
AZD-1480,-0.06108935866233311,0.10301765365944617,-0.009355873234024021,-0.2730530005797416,0.043236770991362417,0.0
AZD-1981,0.011121580768028166,0.0,0.07301449178592066,0.0,-0.030886836998067824,0.0
AZD-2014,-0.055289569381604176,0.08795290993180675,0.042077186012678146,0.19885910230758508,0.03801273888529339,0.0
AZD-3514,-0.00796842024156409,0.0,0.0013701072860806862,0.0,0.028813392292629237,0.0
AZD-4547,0.04299256537492735,-0.12505022906208216,0.0015432755273214597,0.0,0.06755392930413355,0.0
AZD-5363,-0.023996264808412694,0.0,0.002151969115268922,0.0,-0.0008853555889298841,0.0
AZD-5438,-0.10027613107303641,0.15527410913338704,-0.042089753294236004,0.12755300678063125,0.004737127511274933,0.0
AZD-6482,-0.058907660050859866,0.1399228373067296,0.0002938112696670081,0.18625396044932566,0.07645071760269699,-0.15230318124267805
AZD-7545,0.014387530004056218,0.0,0.023121263759737453,-0.2239561138745666,0.02807772206809717,-0.12112785718066929
AZD-7687,-0.017687924627580204,0.0,-0.011712843903850096,0.0,-0.000340884642079163,0.0
AZD-7762,0.03384997510452573,-0.09555154043464739,-0.016905405047726807,0.17682407840149605,-0.0006944810462918879,0.0
AZD-8055,-0.013686259009421697,0.0,0.04569299999202668,0.0,-0.030254865439718576,0.0
AZD-8330,0.07731021732977159,-0.12057936564667676,-0.00022441628085163854,0.0,0.1316182619266976,0.0
AZD-8931,-0.03450896192952526,0.0,-0.016691052919352332,0.0,0.08483161834924285,0.0
AZD-9668,0.0092831809498549,0.0,-0.06210558266430313,-0.2276648668005372,-0.04585482813842972,0.0
BAY-87-2243,-0.007118435063868448,0.0,0.05612687313699985,0.15594602633645482,-0.03622532293049751,0.0
BAY-K8644,-0.03214365927704936,0.1015847037765229,0.0027046553506434048,-0.25971202625145295,0.021765751050485196,-0.08915131044360458
