drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
KIN001-055,-0.001071210801409047,-0.07610505123272786,0.05375562075456022,-0.23639341019858492
KIN001-127,0.0028192865759221523,0.0,0.05953265229703884,-0.216785353962697
KIN001-242,-0.06701986018439689,0.0,-0.021055009042496752,-0.23493804979384803
KIN001-244,-0.04599116850269425,0.09604852963762572,0.018724612962394582,-0.21610267307347675
KIN001-260,-0.026423486110712695,0.06737668512173751,-0.07716096658669369,0.23631410952792584
KIN001-266,0.025244489324193865,-0.10917772437975456,-0.025255752205824347,0.0
KIN001-269,-0.056307510956931706,0.12299308071772391,-0.06325721923633697,0.0
KIN001-270,-0.04485127028217639,0.0,-0.024591303892770852,0.0
KN-62,0.0645654617511351,-0.10506331748591996,-0.0024450103050216087,0.3095409183091007
KN-93,-0.038608275819682555,0.08514649824477158,0.08380848610840508,0.0
KU-55933,0.01885914994050475,0.0,-0.0033248717343041744,0.0
KU-60019,0.034535459416977936,-0.07363652669277387,0.020813753110863496,0.0
KW-2449,-0.01070950646691853,0.0,0.061548292071316756,-0.2013056600495611
KW-2478,0.06252365193454837,-0.12095985031797257,0.018335250529982035,0.0
KX2-391,0.007088010431933017,0.055950185116854075,0.05506192443234664,0.0
L-655240,0.005430653316264639,0.0,-0.0369393246275217,0.0
L-690330,0.0044590020217699115,0.0,-0.08438437643947817,0.0
L-NAME,-0.005110961093989462,-0.07704028316795233,-0.018657828752522115,0.0
L-citrulline,-0.024112704189990695,0.0,0.024154354682689776,-0.3259111329784874
L-ergothioneine,-0.0057402723834517255,0.06630932806435698,0.04985390413927091,0.20427089004435833
LCL-161,0.0012454381610714925,0.11812600182055424,0.011775286998449248,0.0
LCQ-908,0.035674625710366524,-0.12710017304794097,0.03225065633269458,-0.1753764339673436
LDN-193189,-0.05362402040894863,0.11992268605303927,-0.006306856493428165,-0.3025362673706888
LGX-818,-0.023488570503710664,0.08368860305292133,0.00947435239341567,0.1963330525751489
LX-1031,-0.04381577000143569,0.15355705202357434,-0.029639558712990777,0.0
LXR-623,0.021654621037573887,-0.08512849102537101,-0.025984658258166357,0.0
LY-2090314,-0.038592774238259624,0.11990418281798834,-0.007112534841956,0.0
LY-215490,-0.033078948639268614,0.0889437461009043,-0.059770692426121264,0.0
LY-2157299,0.04031512117961954,-0.12436234019677242,-0.017998131187125375,0.0
LY-2228820,0.04073117427535175,-0.08343759070858651,0.019437216036586078,0.3066158959707235
LY-2334737,-0.007342351035698498,0.0,-0.03957660630423228,-0.18496610618401277
LY-2603618,0.003939291544272991,0.0,0.013240595264024466,-0.15320942010389632
LY-2784544,-0.013505542385481994,0.0,-0.03879814409425252,0.2799823702725751
LY-2801653,-0.0877038372729821,0.18053168931613894,0.016195484755213013,0.0
LY-2811376,-0.044054757044509896,0.09930558921585739,0.02015480392367185,-0.22374886496895002
LY-2874455,0.01125483898976253,-0.08846497267926402,-0.013892090489004102,0.0
LY-2886721,-0.0030539129576334346,0.0,-0.07428296077737294,0.0
LY-294002,-0.006359799224330894,0.0,-0.039862019376286514,0.19472830942512404
MBX-2982,-0.030871503368150803,0.07692807666035834,0.010424861839657577,-0.2421350927931819
MC1568,-0.09593689989346824,0.15215637668423046,-0.05720825796313424,0.0
MD-920,-0.04415074055003549,0.0,-0.03687047161065741,0.0
MDL-73005EF,-0.020603383836467662,0.07137090493946037,0.01373730647881076,0.39981329818391
MF-101,-0.035426439990816974,0.0,-0.024008102247379967,0.0
MG-132,0.04978835422333777,-0.13812286681733263,0.018210463869197266,0.0
MGCD-265,0.0077661801545716395,0.0,-0.01571007037892963,-0.18240840531654945
MK-0752,0.016718073630883033,0.0,0.05007204884447096,0.13768660331403773
MK-0773,-0.046108171306260375,0.0,-0.056378191208334774,0.0
MK-0812,-0.007249333866614941,0.0,0.007832507215376379,-0.20176815257056183
MK-0893,0.004876067342339372,0.0,-0.00968049410465073,0.23879125760180792
MK-1775,0.007506153821513548,0.0,0.00011767974435104349,-0.26463162355453845
MK-2206,0.039531525390198254,0.0,0.025567541440132305,0.0
MK-2461,0.043086194076440855,-0.11343088369157317,-0.010999631148507305,0.0
MK-3207,-0.009091065436425665,0.11813771691017066,-0.03434501930203912,-0.1856944260272537
MK-5108,-0.026636022392560004,0.05954243851538704,0.02979047474143355,0.0
MK-8033,-0.014083981807020704,0.0,-0.05585824113104398,-0.174705898818608
MK-8245,0.018542785993022504,0.0,-0.05844261426084534,0.0
MLN-0128,0.0034336506269861,-0.06458825585931996,0.04865257277644806,0.0
MLN-2480,-0.06141003488531334,0.09114641722071266,-0.08428145802958091,0.0
MLN-8054,-0.04069956894547011,0.0,-0.005670502605068687,-0.1735035479501182
N6022,0.012560950317057661,0.0,0.08180646050580732,0.0
